addition|加法；附加；增加
competitive|竞争的；有竞争力的
conduct classes|开设课程；进行课堂教学
contemporary|当代的；现代的
contract|合同；收缩
economic growth|经济增长
engineer|工程师；设计；安排
engineered|设计的；策划的
inform|通知；告知
making a mess of|搞砸；弄乱
moonlighted as|兼职做……
named|被命名的；叫做
nursed|护理；照顾
organized|组织的；有条理的
precisely|精确地；恰好
put yourself in his position|设身处地
receptionist|接待员
recognize|认出；承认
remains|残留物；遗迹
reminder|提醒；提示
retire to|退休后去……
stadium|体育场
swung|摆动；摇摆（swing的过去式）
take the place|取代；占据位置
The prospect of|……的前景；……的可能性
tracking|跟踪；追踪
well-informed|见多识广的；消息灵通的
within his capacity|在他的能力范围内
