ambition|抱负；野心（名词）
achieve|实现；完成（动词）
aim high|志存高远；目标定得很高
at the risk of doing|冒着做某事的风险
aim for / be aimed at|旨在
attempt to do|试图做某事
at any cost|不惜任何代价
a number of|许多；若干（不定量词）
a handful of|一小撮；少数（不定量词）
blanket|毛毯（名词）；覆盖（动词）
be accustomed to do|习惯于做某事（动词短语）
courage|勇气（名词）；鼓励（动词）
commit|承诺；献身；犯罪（动词）
camp in|扎营；临时居住
chop off|砍掉；删去
civilized|文明的；有礼貌的（形容词）
corporation|公司；企业（名词）
complain|抱怨；投诉（动词）
determine|决定；确定；决心（动词）
devote|奉献；致力于（动词）
devote to|致力于（动词短语）
despite|尽管；不管（介词）
establish|建立；创立（动词）
face / take on / rise to a challenge|面对/接受/迎接挑战
high-ranking|高级的；地位高的（形容词）
high-paying|高薪的（形容词）
hate|讨厌；厌恶（动词）
intend|打算；意指；想要（动词）
inspire|激励；启发（动词）
in financial terms|从财务角度看（介词短语）
land jobs|找到工作；成功获得工作
let out|散出（证据等）；发出；泄露；出租（动词短语）
make up one’s mind to do|下定决心做某事
overcome by curiosity|被好奇心驱使
one … after another|一个接一个
on the surface|表面上（介词短语）
pursue a goal|追求目标
pick yourself up|振作起来；重新站起来
pay off|得到回报；偿还（动词短语）
reflect on|反思；仔细考虑
realize their ambition|实现他们的抱负
succeed|成功；继承（动词）；
succeed to|在…之后；继承；继任
suffer a setback / blow|遭受挫折/打击
separately|分开地；单独地（副词）
shabby|破旧的；寒酸的（形容词）
stick around|逗留；留在附近
support the family|养家糊口
support the lifestyle|维持生活风格
spare no effort to do|不遗余力地做某事（动词短语）
taking the full advantage of opportunity|充分利用机会
take in|接纳；理解；欺骗（动词短语）
the thing is|问题是；事情是这样的（插入语）
turn in|上交；交还；投降（动词短语）
workweek|工作周（名词）
