address|地址;演讲;称呼
apologize|道歉;表示歉意
apology|道歉;歉意
address people by their first names|直呼其名
apologize to sb. for sth. / make an apology to sb. for sth.|因某事向某人道歉
a note of optimism/sadness/desperation|乐观/悲伤/绝望的语气
address each other by last name|互相称呼姓氏
attend a presentation|参加演讲;出席报告会
be aware of cultural differences|意识到文化差异
behave yourself|举止端正;守规矩
be entitled to|有权享受;有资格得到
be respectful for|对...尊敬
cultural heritage|文化遗产
decent|体面的;得体的
defensive|防御性的;防卫的
drink to|为...干杯
drink a toast to|为...敬酒
disrespectful|不尊敬的;无礼的
entitle|给予权利;赋予头衔
extend my apology|表达我的歉意
extend 表达|表达;延伸
extend her hand as a greeting|伸手作为问候
ethnic minority groups|少数民族群体
go native|入乡随俗;融入当地生活
guest of honor|贵宾
gesture|手势;姿态
graceful|优雅的;优美的
have high regard for sb. / hold sb. in high regard|对某人高度评价
higher-up|上级;高层
interact|互动;相互作用
impressive|给人印象深刻的;令人赞叹的
impression|印象;感想
in response (to)|作为回应(对...)
ill-mannered|没有礼貌的;粗鲁的
interpersonal|人际的;互相的
interpersonal relationships|人际关系
leave/make a deep impression on sb.|给某人留下深刻的印象
look down on / upon|轻视;看不起
noble|高尚的;贵族的
note 语气|语气
on an angry note|愤怒地
on a first-name basis|直呼其名的关系
outright|彻底的;完全的
physical / eye contact|身体接触;眼神交流
punctual|准时的;守时的
put up with|忍受;容忍
rank|等级;军衔
respect|尊重;尊敬
respectful|恭敬的;有礼貌的
status|地位;状况
sign language|手语
self-conscious|自觉的;害羞的
stretch for hours|持续数小时
stretch the truth/facts|歪曲事实
stretch the rules / a point|曲解规则/要点
title 权力|权力;头衔
tolerate|容忍;忍受
universally acknowledged|普遍认可的
vary from culture to culture|因文化而异
well-mannered|有礼貌的;举止文雅的
