a journal entry|日记条目; 日记账项
a serious note|严肃的语气; 严重的情况
a wake-up call|警钟; 醒悟的呼唤
absorb|吸收; 吸引
advocate|提倡; 倡导; 支持
annoy|使恼火; 惹恼
appetite|食欲; 欲望
appoint oneself|自封; 自任
around with me|与我一起四处走动; 和我一起
at the heart of|在…的核心; 在…的中心
be at work|正在工作; 忙碌
be attached to|依恋; 附属于
be devoted to doing|致力于做; 全心全意投入
be placed in|被安置在; 被置于
be tempted by|被…诱惑
be tired of|厌倦; 对…感到腻烦
be used to|习惯于
beyond|超过; 超出; 在…那边
bitter|苦的; 苦涩的; 刻薄的
bookcase|书架
boost|增强; 提升
break up|（关系）破裂; 分手
ceaselessly|不断地; 不停地
chart|绘制图表; 记录
commerce|商业
commercial|商业广告; 商业的
common ground|共同点; 共识
contradict|反驳; 与…矛盾
contrary|相反的; 相对的
contrast|对比; 差异
contribute to|贡献给; 导致
conversational|会话的; 谈话式的
counterweight|平衡物; 对重
counter|柜台; 计数器; 反驳
deactivate|使失效; 停用
delay|延迟; 推迟
directly|直接地
director|导演; 主管
document|记录; 文档化
dramatically|戏剧性地; 显著地
e-commerce|电子商务
e-commercial|电子商业
fall short of demand|未能满足需求; 缺乏
far and wide|远近; 广泛
farm produce|农产品
focus on|专注于; 集中注意力于
follow-up|跟进; 续篇
for 因为|因为; 由于
gather dust|积灰; 被忽视
get/fall into the habit|养成习惯; 落入习惯
grownups|成年人
identification|识别; 身份证明
in case of|万一; 如果发生
in charge|负责; 管理
in response (to)|作为回应; 对…作出反应
in that case|在这种情况下
involve in|卷入; 参与
involve|涉及; 包含
launch|发射; 发布
left me feeling|让我感觉; 使我感到
liberation|解放; 释放
live stream|直播
major in|主修
major|专业; 重要的
make up with sb.|与某人和解; 弥补
make-up|化妆; 补偿
market|销售; 推销
mechanism|机制; 结构
mismatch|不匹配; 错配
new trend|新趋势
nursery school|幼儿园
obtain|获得; 得到
on call|待命; 随叫随到
on duty|值班; 当班
plain|简单的; 明白的; 平原
predict|预测; 预报
prize|珍视; 重视
range from … to …|从…到…范围
readily|容易地; 愿意地
recognize|认识; 承认
rely on|依赖; 依靠
research on|研究; 调查
reshape|重塑; 重新塑造
resist tempting foods|抵抗诱人食物
resist the temptation of|抵制…的诱惑
response mechanism|响应机制
selfish|自私的
shoot videos|拍摄视频
simplicity|简单; 简朴
split between|在…之间分配; 分裂
sympathize|同情; 表示同情
sympathy|同情; 怜悯
the shortage of|…的短缺
tone|语气; 色调
treat … as|把…当作
turn the page|翻页; 开创新篇章
unknowingly|不知不觉地; 无意间
version|版本; 说法
virtual|虚拟的; 几乎
warm-up|热身; 预热
with a big smile on her face|脸上带着大大的微笑
work culture|企业文化; 工作文化
