accessible|可到达的；可进入的
along the way|沿途
argued bitterly|激烈地争论
biography|传记
bury|埋
character|人物；字符
comedy|喜剧
commitment|忠诚；承诺
complicated|复杂的
compromise|妥协；损害
confine|限制
demonstrate a commitment|展示承诺
distractions|分心；干扰
drank heavily|酗酒的
engage|雇用；参加；从事；吸引
enthusiasm|热情
enthusiastic|热心的
escape the pull of the earth|逃离地球的引力
exhibit expert knowledge|展示专家知识
fantasy|幻想
grew out of|从...中成长出来
image|形象；印象；图像；比喻
In short|简而言之
inspiration|灵感
land astronauts|陆地宇航员
look at issues in various ways|用不同的方式看待问题
lunar surface|月球表面
make a difference|有影响；有关系
mentally ill|精神病患者
model|模仿
motivated|积极的；主动的
No wonder|难怪
orbit|轨道
organized|有组织的
physically disabled|肢体残疾
regular basis|定期基础
regularly|定期的；有规律的
remarkable 非凡的
satellite|卫星
set high expectations|设定高期望
stretched-out|延长的
sympathy|同情心；理解
tragedy|悲剧
turned up|出现
underdogs|输家
