shining star|明星；杰出的人
make a career|开创事业；成就职业
making his first television appearance|第一次在电视上亮相
distinguished|卓越的；显赫的
make a movie a financial success|让电影获得经济成功
reviewer|评论员；审阅者
rate it|评价它；打分
be content with|对……感到满意
never given up on|从未放弃
make for|有助于；导致
remarkable|卓越的；显著的
dramatic|戏剧性的；引人注目的
laughs last laughs longest|最后笑的人笑得最久
Where there's a will there's a way.|有志者事竟成
It's never too late to learn.|学习永远不嫌晚
discontent|不满；不安
propose|提议；建议
reach a conclusion|得出结论
argument|争论；论点
average|平均的；普通的
urges|劝说；强烈的愿望
count for|对……有重要性
not merely|不仅仅是
curious|好奇的；求知的
discontent|不满；不安
