a battery of|一系列；大量
A friend in need is a friend indeed|患难见真情
adapt oneself to|适应；调整自己
analytical thinking|分析性思维
Appeal to feelings|感情诉求
Architects|建筑师
as part of|作为……的一部分
attach great importance to|非常重视
attach importance to|重视；看重
automotive mechanic|汽车修理工
Babysitting|看护孩子
be occupied with|忙于……
be qualified for the job|符合职位要求
be responsible for|负责……
be tied up|被束缚；忙碌
bloodthirsty|嗜血的；残忍的
breathe a sigh of relief|松了一口气
bright|明亮的；聪明的
candidates|候选人
chances are that …|……的机会很大
cheerful|愉快的；快乐的
come down with|患上；得病
comes to a close|结束
corporate jobs|企业工作
coupled with|加上；与……结合
decline|下降；拒绝
deeds|行为；事迹
document|文件；记录
Dress the part|穿着得体
edge|边缘；优势
evaluate|评估
financial crisis|财务危机
flexibility|灵活性
follow your path|追随自己的道路
footsteps|足迹；脚步声
genetic factors|遗传因素
give in|屈服；让步
go off|离开；爆炸
go up to|走近；上升
Good is rewarded with good|善有善报
Handing out|发放；分发
happiest|最快乐的
health status|健康状况
heartstrings|心弦；情感
hit|打；撞击；成功
honor rolls|荣誉名单
immediately|立刻；马上
in some forms|以某些形式
in your footsteps|跟随你的脚步
International tourist|国际游客
jam|塞车；果酱
joke and laugh|开玩笑和大笑
just like|就像；类似于
kick the tire|检查轮胎
land oneself a new job|找到一份新工作
let him go ahead|让他先走
living out that dream|实现梦想
make a fortune|发财；致富
make school|上学；开办学校
managerial|管理的；经理的
master's degree|硕士学位
means no sandals|意味着不可以穿凉鞋
measure|测量；衡量
meet the requirement|符合要求
mentally stimulating|心理上有启发性的
motorheads|汽车爱好者
muddied|泥泞的；模糊的
multitasking|多任务处理
musical|音乐的；音乐性
musician|音乐家
off the hook|免于责任；摆脱困境
offer sb a ride|给某人提供搭车的机会
off-road biking|越野骑行
out of business|停业；破产
overall|总体的；全局的
paid work|有偿工作
peaks up|顶峰；达到高点
precise|精确的；准确的
put out a request|提出请求
real estate firm|房地产公司
recommend sb to do|推荐某人做……
relate|讲述；相关
restless|坐立不安的；不安宁的
resume|简历；恢复
rude|粗鲁的；无礼的
ruin|毁灭；破坏
secretly|秘密地；暗中
seek one's advice|寻求某人的建议
seize the chance to|抓住机会
settle into|安顿下来
sharp|敏锐的；锋利的
sink-sank-sunk|沉；下沉
somewhat|有点；稍微
step into|踏入；进入
stepping up to|迎接挑战
student body|学生群体
take the position of|担任……职位
tax-free salary|免税工资
the flood of|大量涌入；洪水般的
the position|职位；地位
tidy|整洁的；有条理的
Tough|强硬的；困难的
Two heads are better than one|三个臭皮匠，胜过一个诸葛亮
unwise|不明智的；愚蠢的
vital|重要的；生死攸关的
was born of|源于；由……产生
was tired of|对……感到厌倦
well-rounded|全面的；综合的
Where there's a will, there's a way|有志者事竟成
