achieve|实现；达到；取得
admissions|录取；入场；入学许可
appeal to|吸引；呼吁；诉诸
applied for|申请（某事物）
as a whole|整体上；总的来说
attribute...to|把……归因于；归功于
be aimed at doing sth.|旨在做某事；以做某事为目标
blow sb. away|使某人震惊；打败某人
blow sb./sth. off|对某人/某事不予理会；放弃
breathtaking|令人惊叹的；惊险的
click|点击；合得来；突然明白
compromise|妥协；折中
conductor|指挥家；售票员；导体
copy|复制；抄袭；副本
desperately|拼命地；绝望地；极度地
devote to doing|致力于做某事；献身于做某事
devoted|忠诚的；专心致志的
disadvantaged|处于不利地位的；贫困的
district|区域；地区
every once in a while|偶尔；时不时
experience|经验；经历
experience guide|经验指南；体验向导
frustration|挫折；失望；沮丧
fulfill|实现；履行；满足
fulfill her ambition|实现她的抱负
garage|车库；修车厂
get through|通过；渡过难关；打通电话
glorious|光辉的；荣耀的；辉煌的
glory|光荣；荣誉
go all out|全力以赴
habitats|栖息地；生活环境
has a passion for|对……充满热情
heartful|充满感情的；真诚的
in the presence of|在……面前
incidefrustration nt|事件；插曲
informative|信息丰富的；增进知识的
innovation|创新；革新
just have to|只需要；不得不
more than|不仅仅是；超过
motel|汽车旅馆
owe... to|把……归功于；欠（某人某物）
passively|被动地；消极地
pick up|捡起；接人；学会
pocket|口袋；将……占为己有
privileged|有特权的；幸运的
provides an insight into|提供对……的深入了解
pursue/achieve one's aim|追求/实现某人的目标
put off|推迟；使反感
realize|意识到；实现
resident|居民；常住者
responsibilities|责任；职责
struggle for|为……而斗争；为……而努力
struggle to|努力去做……
struggle to one's feet|挣扎着站起来
survival|生存；存活
switched to|转换到；切换到
thought of|想到；考虑到
threats|威胁；恐吓
tolerate|容忍；忍受
tricky|棘手的；狡猾的
unexceptional|平凡的；普通的
unexpected|意外的；出乎意料的
unstoppable|无法阻挡的；势不可挡的
upbeat|乐观的；积极向上的
with the aim of|以……为目标；目的是
youthful|年轻的；富有青春活力的
 
