acquired|获得的；习得的
adaptive signals|适应性信号
addressed|解决；处理
approved of|赞同；认可
are in a different class|属于不同的等级；截然不同
attendance|出席；出勤
be given access to|获得接触/使用权
behave yourself|举止端正；表现好
being addressed|被提及；被称呼
by contrast|相比之下；与之相对
by extension|引申；延伸
casual nature|随意性；非正式
chairman|主席；会长
chat up|搭讪；攀谈
comment on the rumors|评论谣言
committee|委员会
crucial|至关重要的
declined|拒绝；下降
envelope|信封；包裹
ethnic minority groups|少数民族群体
exceptional|优异的；特别的
extend the life of objects|延长物品寿命
extend yourself to the extreme|尽力而为；竭尽全力
extensive|广泛的；大量的
flow|流动；流程
greeted them|向他们问候
in this respect|在这方面
innovative|创新的
interactive|互动的
launch (oneself) into sth.|投入；全力开始
minimal jewelry|简单的珠宝
novel|新颖的；小说
on a first-name basis|称呼名字（较熟悉）
on nodding terms (with sb.)|点头之交
on the same/a different wavelength|同/不同频率；意见一致/分歧
open ended|开放式的；无限制的
opening ceremony|开幕式
outfit|服装；穿搭
post|邮件；职位
postbox|邮箱；信箱
precious|珍贵的
press conference|新闻发布会
relevant|相关的；切题的
renovate|翻新；改造
right and proper|合理而合适
road sign|道路标志
seal|密封；印章
setting|环境；设置
stationary|静止的；不动的
understated|低调的；不张扬的
