a runaway success|非常成功的案例
abandoned|被遗弃的；放弃的
achievable|可实现的；可达到的
achieved|实现的；达成的
ambitious|雄心勃勃的；有抱负的
at-risk youth|有风险的青少年
carve|雕刻；切割
carved out a successful career|开创了成功的职业
chalked up ... to|把……归因于
commit|承诺；犯罪
commitment|承诺；投入
conductor|指挥；导体
devoted|忠诚的；献身的
do up|装饰；系紧
encouraging|鼓励的；令人振奋的
fast-track|快速推进；加速通道
feed on|以……为食；依赖
fine-tune|微调；细致调整
flat|平坦的；单调的
geophysic|地球物理的
go through|经历；仔细检查
groundbreaking|开创性的；突破性的
initially|起初；最初
innovations|创新；革新
musical piece|音乐作品
overcome by curiosity|被好奇心驱使
pack up|打包；收拾
play a part|参与；发挥作用
pursue this matter|追求此事
ran through|跑过；浏览
refresh her memory|刷新她的记忆
sailed through|顺利通过
secured|获得的；安全的
see through it|看透；理解
see-through|透明的；透视的
sideline|边缘化；副业
stage a comeback|上演复出
succeeded each other|互相接替
success|成功
suffered|受苦的；遭受的
survive the accident|在事故中幸存
surviving|生存的；幸存的
surviving on|依靠……生存
take up|开始；接受
tissue to|组织；与……相关
to his relief|令他松了一口气
transparent|透明的；显而易见的
unconscious|无意识的；昏迷的
working through|挺过；逐步处理
